COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
AUT,,ALL,2015,44195.82
AUT,,ALL,2016,45307.59
AUT,,ALL,2017,47429.16
AUT,,ALL,2018,51486.58
AUT,,ALL,2019,50114.4
AUT,,ALL,2020,48588.66
AUT,,ALL,2021,53267.93
AZE,,ALL,1990,1234.53
AZE,,ALL,1991,1209.19
AZE,,ALL,1992,60.46
AZE,,ALL,1993,209.48
AZE,,ALL,1994,157.09
AZE,,ALL,1995,314.56
AZE,,ALL,1996,409.16
AZE,,ALL,1997,505.5
AZE,,ALL,1998,561.91
AZE,,ALL,1999,573.92
AZE,,ALL,2000,655.12
AZE,,ALL,2001,703.68
AZE,,ALL,2002,763.08
AZE,,ALL,2003,883.73
AZE,,ALL,2004,1045.01
AZE,,ALL,2005,1578.4
AZE,,ALL,2006,2473.08
AZE,,ALL,2007,3851.44
AZE,,ALL,2008,5574.6
AZE,,ALL,2009,4950.29
AZE,,ALL,2010,5843.53
AZE,,ALL,2011,7189.69
AZE,,ALL,2012,7496.29
AZE,,ALL,2013,7875.76
AZE,,ALL,2014,7891.31
AZE,,ALL,2015,5500.31
AZE,,ALL,2016,3880.74
AZE,,ALL,2017,4147.09
AZE,,ALL,2018,4739.84
AZE,,ALL,2019,4805.75
AZE,,ALL,2020,4229.91
AZE,,ALL,2021,5384.03
BEL,,ALL,1970,2765.89
BEL,,ALL,1971,3082.93
BEL,,ALL,1972,3831.63
BEL,,ALL,1973,4900.96
BEL,,ALL,1974,5733.8
BEL,,ALL,1975,6701.38
BEL,,ALL,1976,7243.05
BEL,,ALL,1977,8426.95
BEL,,ALL,1978,10289.77
BEL,,ALL,1979,11810.62
BEL,,ALL,1980,12864
BEL,,ALL,1981,10622.8
BEL,,ALL,1982,9343.86
BEL,,ALL,1983,8846.23
BEL,,ALL,1984,8457.27
BEL,,ALL,1985,8750.82
BEL,,ALL,1986,12170.04
BEL,,ALL,1987,15135.85
BEL,,ALL,1988,16391.09
BEL,,ALL,1989,16525.06
BEL,,ALL,1990,20600.38
BEL,,ALL,1991,21041.66
BEL,,ALL,1992,23372.62
BEL,,ALL,1993,22283.94
BEL,,ALL,1994,24208.55
BEL,,ALL,1995,28413.83
BEL,,ALL,1996,27489.56
BEL,,ALL,1997,24820.94
BEL,,ALL,1998,25338.44
BEL,,ALL,1999,25252.8
BEL,,ALL,2000,23098.89
BEL,,ALL,2001,23015.07
BEL,,ALL,2002,25006.19
BEL,,ALL,2003,30655.21
