COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
BLR,,ALL,2005,486.43
BLR,,ALL,2006,491.03
BLR,,ALL,2007,549.76
BLR,,ALL,2008,538.92
BLR,,ALL,2009,548.67
BLR,,ALL,2010,663.7
BLR,,ALL,2011,575.67
BLR,,ALL,2012,663.42
BLR,,ALL,2013,707.62
BLR,,ALL,2014,678.25
,CARINFONET,ALL,1995,87.09
,CARINFONET,ALL,1996,86.42
,CARINFONET,ALL,1997,94.23
,CARINFONET,ALL,1998,93.01
,CARINFONET,ALL,1999,77.75
,CARINFONET,ALL,2000,81.03
,CARINFONET,ALL,2001,85.15
,CARINFONET,ALL,2002,87.78
,CARINFONET,ALL,2003,97.59
,CARINFONET,ALL,2004,114.25
,CARINFONET,ALL,2005,133.68
,CARINFONET,ALL,2006,143.2
,CARINFONET,ALL,2007,131.81
,CARINFONET,ALL,2008,162.77
,CARINFONET,ALL,2009,190.12
,CARINFONET,ALL,2010,201.17
,CARINFONET,ALL,2011,207.01
,CARINFONET,ALL,2012,235.31
,CARINFONET,ALL,2013,239.42
,CARINFONET,ALL,2014,266.64
CHE,,ALL,1995,1377.99
CHE,,ALL,1996,1490.18
CHE,,ALL,1997,1563.66
CHE,,ALL,1998,1631.42
CHE,,ALL,1999,1699.43
CHE,,ALL,2000,1791.29
CHE,,ALL,2001,1960.33
CHE,,ALL,2002,2129.09
CHE,,ALL,2003,2215.93
CHE,,ALL,2004,2306.75
CHE,,ALL,2005,2394.72
CHE,,ALL,2006,2523.55
CHE,,ALL,2007,2714.08
CHE,,ALL,2008,3237.08
CHE,,ALL,2009,3417.15
CHE,,ALL,2010,3458.52
CHE,,ALL,2011,3737.06
CHE,,ALL,2012,3994.26
CHE,,ALL,2013,4204.51
CHE,,ALL,2014,4269.21
,CIS,ALL,1995,179.51
,CIS,ALL,1996,173.22
,CIS,ALL,1997,208.72
,CIS,ALL,1998,176.22
,CIS,ALL,1999,157.87
,CIS,ALL,2000,165.31
,CIS,ALL,2001,183.43
,CIS,ALL,2002,209.9
,CIS,ALL,2003,234.05
,CIS,ALL,2004,249.94
,CIS,ALL,2005,293.01
,CIS,ALL,2006,363.18
,CIS,ALL,2007,407.91
,CIS,ALL,2008,484.06
,CIS,ALL,2009,540.22
,CIS,ALL,2010,525.23
,CIS,ALL,2011,542.98
,CIS,ALL,2012,613.64
,CIS,ALL,2013,624.25
,CIS,ALL,2014,636.15
CYP,,ALL,1995,262.09
CYP,,ALL,1996,280.51
CYP,,ALL,1997,316.02
CYP,,ALL,1998,400.11
CYP,,ALL,1999,429.81
CYP,,ALL,2000,464
CYP,,ALL,2001,512.38
CYP,,ALL,2002,588.53
CYP,,ALL,2003,674.74
CYP,,ALL,2004,662.32
CYP,,ALL,2005,668.89
CYP,,ALL,2006,728.36
CYP,,ALL,2007,758.24
CYP,,ALL,2008,920
CYP,,ALL,2009,1048.58
CYP,,ALL,2010,1074.86
CYP,,ALL,2011,1076.45
CYP,,ALL,2012,1016.14
CYP,,ALL,2013,982.8
CYP,,ALL,2014,932.71
CZE,,ALL,1995,815.76
CZE,,ALL,1996,829.97
CZE,,ALL,1997,830.79
CZE,,ALL,1998,835.99
CZE,,ALL,1999,848.64
CZE,,ALL,2000,886.49
CZE,,ALL,2001,970.51
CZE,,ALL,2002,1081
CZE,,ALL,2003,1205.3
CZE,,ALL,2004,1237.82
CZE,,ALL,2005,1292.13
CZE,,ALL,2006,1357.09
CZE,,ALL,2007,1423.39
CZE,,ALL,2008,1468.49
CZE,,ALL,2009,1704.34
CZE,,ALL,2010,1616.49
CZE,,ALL,2011,1718.52
CZE,,ALL,2012,1728.78
CZE,,ALL,2013,1740.86
CZE,,ALL,2014,1814.44
DEU,,ALL,1995,1856.32
DEU,,ALL,1996,1971.12
DEU,,ALL,1997,1948.96
DEU,,ALL,1998,1987
DEU,,ALL,1999,2068.64
DEU,,ALL,2000,2131.94
DEU,,ALL,2001,2229.29
DEU,,ALL,2002,2327.88
DEU,,ALL,2003,2433.67
DEU,,ALL,2004,2431.2
DEU,,ALL,2005,2575.93
DEU,,ALL,2006,2725.84
DEU,,ALL,2007,2842.49
DEU,,ALL,2008,3033.38
DEU,,ALL,2009,3229.58
DEU,,ALL,2010,3395.99
DEU,,ALL,2011,3503.04
DEU,,ALL,2012,3582.4
DEU,,ALL,2013,3712.83
DEU,,ALL,2014,3989.56
DNK,,ALL,1995,1547.46
DNK,,ALL,1996,1631.99
DNK,,ALL,1997,1696.06
DNK,,ALL,1998,1752.01
DNK,,ALL,1999,2027.06
DNK,,ALL,2000,2107.14
DNK,,ALL,2001,2260
DNK,,ALL,2002,2428.77
DNK,,ALL,2003,2454.09
DNK,,ALL,2004,2636.44
